show_id,type,title,director,country,date_added,release_year,rating,duration,genre,description,year_added,month_added,season_count
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,2021-09-15,2004,TV-PG,88,Action & Adventure,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",2021,9,
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,2021-09-15,2001,TV-PG,100,Action & Adventure,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",2021,9,
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2021-09-15,2011,TV-14,102,Action & Adventure,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",2021,9,
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,2021-09-15,2008,TV-PG,93,Action & Adventure,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",2021,9,
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,2021-09-15,2009,TV-PG,96,Action & Adventure,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",2021,9,
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,2021-09-15,2007,TV-PG,95,Action & Adventure,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",2021,9,
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,2021-09-15,2010,TV-14,85,Action & Adventure,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",2021,9,
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,2021-09-15,2005,TV-PG,97,Action & Adventure,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",2021,9,
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,2021-09-15,2006,TV-PG,95,Action & Adventure,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",2021,9,
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan,2021-09-15,2004,TV-PG,83,Action & Adventure,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",2021,9,
s65,Movie,Nightbooks,David Yarovesky,Missing,2021-09-15,2021,TV-PG,103,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,2021,9,
s69,Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Missing,2021-09-15,2021,TV-14,113,Documentaries,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2021,9,
s72,Movie,A StoryBots Space Adventure,David A. Vargas,Missing,2021-09-14,2021,TV-Y,13,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,2021,9,
s74,Movie,King of Boys,Kemi Adetiba,Nigeria,2021-09-14,2018,TV-MA,182,Dramas,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",2021,9,
s76,Movie,You vs. Wild: Out Cold,Ben Simms,Missing,2021-09-14,2021,TV-G,106,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",2021,9,
s78,Movie,Little Singham - Black Shadow,Prakash Satam,Missing,2021-09-11,2021,TV-Y7,48,Children & Family Movies,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,2021,9,
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,Missing,2021-09-11,2020,TV-14,145,Comedies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,2021,9,
s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,Missing,2021-09-11,2021,TV-14,145,Comedies,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,2021,9,
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,Missing,2021-09-10,2021,TV-Y7,93,Children & Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",2021,9,
s82,Movie,Kate,Cedric Nicolas-Troyan,United States,2021-09-10,2021,R,106,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",2021,9,
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,2021-09-10,2020,TV-MA,147,Action & Adventure,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",2021,9,
s87,Movie,Prey,Thomas Sieben,Missing,2021-09-10,2021,TV-MA,87,International Movies,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,2021,9,
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,Missing,2021-09-09,2021,PG-13,96,Documentaries,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",2021,9,
s91,Movie,Paradise Hills,Alice Waddington,"Spain, United States",2021-09-09,2019,TV-MA,95,Sci-Fi & Fantasy,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.",2021,9,
s94,Movie,JJ+E,Alexis Almström,Missing,2021-09-08,2021,TV-MA,91,Dramas,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",2021,9,
s95,Movie,Show Dogs,Raja Gosnell,"United Kingdom, United States",2021-09-08,2018,PG,90,Children & Family Movies,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,2021,9,
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2021-09-07,2018,TV-MA,97,Documentaries,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",2021,9,
s104,Movie,Shadow Parties,Yemi Amodu,Missing,2021-09-06,2020,TV-MA,117,Dramas,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,2021,9,
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2021-09-05,2017,TV-14,128,Action & Adventure,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",2021,9,
s108,Movie,A Champion Heart,David de Vos,United States,2021-09-04,2018,G,90,Children & Family Movies,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",2021,9,
s113,Movie,Worth,Sara Colangelo,Missing,2021-09-03,2021,PG-13,119,Dramas,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",2021,9,
s114,Movie,Afterlife of the Party,Stephen Herek,Missing,2021-09-02,2021,TV-PG,110,Comedies,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,2021,9,
s115,Movie,Anjaam,Rahul Rawail,India,2021-09-02,1994,TV-14,143,Dramas,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",2021,9,
s116,Movie,Bright Star,Jane Campion,"United Kingdom, Australia, France",2021-09-02,2009,PG,119,Dramas,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,2021,9,
s117,Movie,Dhanak,Nagesh Kukunoor,India,2021-09-02,2015,TV-PG,114,Comedies,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,2021,9,
s119,Movie,Gurgaon,Shanker Raman,India,2021-09-02,2017,TV-14,106,Dramas,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",2021,9,
s120,Movie,Here and There,JP Habac,Missing,2021-09-02,2020,TV-MA,99,Dramas,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.",2021,9,
s123,Movie,In the Cut,Jane Campion,"United Kingdom, Australia, France, United States",2021-09-02,2003,R,118,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",2021,9,
s127,Movie,Shikara,Vidhu Vinod Chopra,India,2021-09-02,2020,TV-14,115,Dramas,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,2021,9,
s128,Movie,A Cinderella Story,Mark Rosman,"United States, Canada",2021-09-01,2004,PG,95,Children & Family Movies,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,2021,9,
s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,Missing,2021-09-01,2017,PG-13,115,Dramas,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.",2021,9,
s130,Movie,An Unfinished Life,Lasse Hallström,"Germany, United States",2021-09-01,2005,PG-13,108,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",2021,9,
s131,Movie,Barbie Big City Big Dreams,Scott Pleydell-Pearce,Missing,2021-09-01,2021,TV-Y,63,Children & Family Movies,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.",2021,9,
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,United States,2021-09-01,1982,R,117,Action & Adventure,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",2021,9,
s134,Movie,Chappie,Neill Blomkamp,"South Africa, United States",2021-09-01,2015,R,121,Action & Adventure,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",2021,9,
s135,Movie,Clear and Present Danger,Phillip Noyce,"United States, Mexico",2021-09-01,1994,PG-13,142,Action & Adventure,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",2021,9,
s136,Movie,Cliffhanger,Renny Harlin,"United States, Italy, France, Japan",2021-09-01,1993,R,113,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",2021,9,
s137,Movie,Cold Mountain,Anthony Minghella,"United States, Italy, Romania, United Kingdom",2021-09-01,2003,R,154,Dramas,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.",2021,9,
s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,"Australia, United States",2021-09-01,2001,PG,95,Action & Adventure,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",2021,9,
s139,Movie,Dear John,Lasse Hallström,United States,2021-09-01,2010,PG-13,108,Dramas,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.",2021,9,
s140,Movie,Do the Right Thing,Spike Lee,United States,2021-09-01,1989,R,120,Classic Movies,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.",2021,9,
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,"Argentina, Venezuela",2021-09-01,2014,TV-MA,100,Dramas,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,2021,9,
s142,Movie,Extraction,Steven C. Miller,"United States, United Kingdom, Canada",2021-09-01,2015,R,82,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",2021,9,
s143,Movie,Freedom Writers,Richard LaGravenese,"Germany, United States",2021-09-01,2007,PG-13,124,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",2021,9,
s144,Movie,Green Lantern,Martin Campbell,United States,2021-09-01,2011,PG-13,114,Action & Adventure,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,2021,9,
s145,Movie,House Party,Reginald Hudlin,United States,2021-09-01,1990,R,104,Comedies,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",2021,9,
s146,Movie,House Party 2,"George Jackson, Doug McHenry",United States,2021-09-01,1991,R,94,Comedies,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",2021,9,
s147,Movie,House Party 3,Eric Meza,United States,2021-09-01,1994,R,94,Comedies,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.",2021,9,
s149,TV Show,HQ Barbers,Gerhard Mostert,Missing,2021-09-01,2020,TV-14,,TV Shows,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business.",2021,9,1
s150,Movie,I Got the Hook Up,Michael Martin,United States,2021-09-01,1998,R,93,Action & Adventure,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",2021,9,
s151,Movie,In Too Deep,Michael Rymer,United States,2021-09-01,1999,R,97,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",2021,9,
s152,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak","China, Hong Kong",2021-09-01,2005,TV-14,109,Action & Adventure,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.",2021,9,
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,United States,2021-09-01,2016,TV-MA,88,Comedies,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.,2021,9,
s156,Movie,Labyrinth,Jim Henson,"United Kingdom, United States",2021-09-01,1986,PG,101,Action & Adventure,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",2021,9,
s157,Movie,Letters to Juliet,Gary Winick,United States,2021-09-01,2010,PG,105,Comedies,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.",2021,9,
s158,Movie,Level 16,Danishka Esterhazy,Canada,2021-09-01,2018,TV-14,102,Sci-Fi & Fantasy,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.",2021,9,
s159,Movie,Love Don't Cost a Thing,Troy Byer,United States,2021-09-01,2003,PG-13,101,Comedies,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.,2021,9,
s160,Movie,Love in a Puff,Pang Ho-cheung,Hong Kong,2021-09-01,2010,TV-MA,103,Comedies,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.",2021,9,
s162,Movie,Mars Attacks!,Tim Burton,United States,2021-09-01,1996,PG-13,106,Comedies,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.",2021,9,
s163,Movie,Marshall,Reginald Hudlin,"United States, China, Hong Kong",2021-09-01,2017,PG-13,118,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",2021,9,
s164,Movie,My Boss's Daughter,David Zucker,United States,2021-09-01,2003,R,86,Comedies,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.",2021,9,
s165,Movie,Mystery Men,Kinka Usher,United States,2021-09-01,1999,PG-13,121,Action & Adventure,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.,2021,9,
s167,Movie,Once Upon a Time in America,Sergio Leone,"Italy, United States",2021-09-01,1984,R,229,Classic Movies,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,2021,9,
s168,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman","United States, Canada",2021-09-01,2008,PG,76,Children & Family Movies,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.,2021,9,
s169,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",United States,2021-09-01,2001,PG,95,Action & Adventure,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,2021,9,
s170,Movie,Poseidon,Wolfgang Petersen,United States,2021-09-01,2006,PG-13,98,Action & Adventure,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",2021,9,
s171,Movie,Rhyme & Reason,Peter Spirer,United States,2021-09-01,1997,R,89,Documentaries,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts.",2021,9,
s172,Movie,Same Kind of Different as Me,Michael Carney,United States,2021-09-01,2017,PG-13,120,Dramas,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,2021,9,
s173,Movie,School of Rock,Richard Linklater,"United States, Germany",2021-09-01,2003,PG-13,110,Comedies,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll.",2021,9,
s174,Movie,Snervous Tyler Oakley,Amy Rice,United States,2021-09-01,2015,PG-13,83,Documentaries,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.",2021,9,
s175,Movie,Tears of the Sun,Antoine Fuqua,United States,2021-09-01,2003,R,121,Action & Adventure,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",2021,9,
s176,Movie,The Blue Lagoon,Randal Kleiser,United States,2021-09-01,1980,R,105,Dramas,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.",2021,9,
s177,Movie,The Golden Child,Michael Ritchie,United States,2021-09-01,1986,PG-13,94,Action & Adventure,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,2021,9,
s178,Movie,The Guns of Navarone,J. Lee Thompson,"United Kingdom, United States",2021-09-01,1961,TV-14,156,Action & Adventure,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",2021,9,
s179,Movie,The Interview,"Evan Goldberg, Seth Rogen",United States,2021-09-01,2014,R,112,Action & Adventure,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,2021,9,
s180,Movie,The Nutty Professor,Tom Shadyac,United States,2021-09-01,1996,PG-13,95,Comedies,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance.",2021,9,
s181,Movie,The Nutty Professor II: The Klumps,Peter Segal,Missing,2021-09-01,2000,PG-13,107,Comedies,"After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation.",2021,9,
s183,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,United States,2021-09-01,2008,PG-13,114,Comedies,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become.",2021,9,
s184,Movie,In the Line of Fire,Wolfgang Petersen,United States,2021-08-31,1993,R,129,Action & Adventure,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.,2021,8,
s189,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor",France,2021-08-28,2008,TV-MA,97,Comedies,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",2021,8,
s191,Movie,Thimmarusu,Sharan Koppisetty,India,2021-08-28,2021,TV-14,125,Dramas,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.",2021,8,
s192,Movie,Wind River,Taylor Sheridan,"United Kingdom, Canada, United States",2021-08-28,2017,R,107,Dramas,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.,2021,8,
s193,Movie,C Kkompany,Sachin Yardi,India,2021-08-27,2008,TV-14,127,Action & Adventure,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous.",2021,8,
